Nombre,Presupuesto_Final_COP,Recaudo_Real_COP,Periodo,Porcentaje_Dependencia_%
Prestación de Servicios,143897144272.05,144216618222.0,2017-2,17.12
Industria y comercio vigencia actual,104350841000.0,111023074042.33,2017-2,13.18
Predial unificado vigencia actual,115571041000.0,100139714149.0,2017-2,11.89
Recursos Fosyga  (Régimen Subsidiado) Sin situación de fondos,65903187899.0,65877071293.0,2017-2,7.82
Régimen Subsidiado Continuidad   11 Doceavas sin situación de fondos,41936982098.0,41936982098.0,2017-2,4.98
Impuesto Predial Unificado vigencia Actual,120649000000.0,98541417955.0,2018-1,16.41
Impuesto de Industria y Comercio de la vigencia actual,129250000000.0,83928384528.07,2018-1,13.98
S. G. P. Educación - Prestación de servicios,137695673668.0,68757961720.0,2018-1,11.45
Alumbrado Publico,45395342023.42,45395342023.42,2018-1,7.56
Recursos Fosyga  (Régimen Subsidiado) Sin situación de fondos,70469310251.0,42096329869.0,2018-1,7.01
S. G. P. Educación - Prestación de servicios,157173712092.0,157173712092.0,2018-2,17.23
Impuesto de Industria y Comercio de la vigencia actual,119659603556.0,111741238982.73,2018-2,12.25
Impuesto Predial Unificado vigencia Actual,120649000000.0,104845559343.0,2018-2,11.49
Recursos Fosyga  (Régimen Subsidiado) Sin situación de fondos,74153615667.0,74153615667.0,2018-2,8.13
S. G. P. Salud - Régimen subsidiado Continuidad,48569395143.0,48569395143.0,2018-2,5.32
Impuesto Predial Unificado vigencia Actual,137687291000.0,132090041450.0,2019-1,19.68
Impuesto de Industria y Comercio de la vigencia actual,122141250000.0,86925937082.06,2019-1,12.95
S. G. P. Educación - Prestación de servicios,155081194364.0,75312012760.0,2019-1,11.22
Recursos Fosyga  (Régimen Subsidiado) Sin situación de fondos,89366025729.0,49094385762.0,2019-1,7.32
Alumbrado Publico,34166718505.38,34166718505.38,2019-1,5.09
S. G. P. Educación - Prestación de servicios,172385587647.0,172385587647.0,2019-2,16.58
Impuesto Predial Unificado vigencia Actual,137687291000.0,138281032433.0,2019-2,13.3
Impuesto de Industria y Comercio de la vigencia actual,114886730945.0,117191075106.59,2019-2,11.27
Recursos Fosyga  (Régimen Subsidiado) Sin situación de fondos,93031684542.0,93031684542.0,2019-2,8.95
S. G. P. Salud - Régimen subsidiado Continuidad,59798708389.0,59798708389.0,2019-2,5.75
Impuesto Predial Unificado Suelo Urbano vigencia Actual,143172831880.0,105407930994.0,2020-1,16.14
S. G. P. Educación - Prestación de servicios,213013145892.0,100055472024.0,2020-1,15.32
Impuesto de Industria y Comercio de la vigencia actual,119201395000.0,81356036062.78,2020-1,12.46
Recursos Fosyga  (Régimen Subsidiado) Sin situación de fondos,97572848183.0,46977080531.81,2020-1,7.19
RECURSOS PROPIOS,30569918430.46,30569918430.46,2020-1,4.68
S. G. P. Educación - Prestación de servicios,190069291976.0,190069291976.0,2020-2,18.42
Recursos Fosyga  (Régimen Subsidiado) Sin situación de fondos,120918528380.79,120918528380.79,2020-2,11.72
Impuesto Predial Unificado Suelo Urbano vigencia Actual,79702847478.0,114645703564.0,2020-2,11.11
Impuesto de Industria y Comercio de la vigencia actual,110201395000.0,114565401823.04,2020-2,11.11
S. G. P. Salud - Régimen subsidiado Continuidad,66502448653.0,66502448653.0,2020-2,6.45
Impuesto Predial Unificado Suelo Urbano vigencia Actual,124860668527.0,113027884704.0,2021-1,14.92
Prestación servicio educativo,246086969684.0,98597865725.0,2021-1,13.01
Recursos ADRES -Cofinanciación UPC régimen subsidiado,134926045538.0,61680132640.18,2021-1,8.14
Impuesto de Industria y Comercio sobre actividades comerciales de la vigencia actual,46647410231.71,56452334662.26,2021-1,7.45
Impuesto de industria y comercio - sobre actividades de servicios-Vigencia Actual,52336118796.52,53343003060.55,2021-1,7.04
Prestación servicio educativo,239882340332.0,239882340332.0,2021-2,18.77
Impuesto de Industria y Comercio,145145998105.69,203495367899.75,2021-2,15.93
Impuesto Predial unificado,143175232453.0,139043678478.0,2021-2,10.88
Impuresto Predial Unificado Urbano,142845232453.0,138698168334.0,2021-2,10.86
Impuesto Predial Unificado Suelo Urbano vigencia Actual,124860668527.0,121437168370.0,2021-2,9.5
TRIBUTARIOS,477344440021.0,348401312723.12,2022-1,34.78
NO TRIBUTARIOS,605958331915.61,338602591608.29,2022-1,33.8
Transferencias corrientes,579938372428.61,321270376637.23,2022-1,32.07
Superávit fiscal,259948361497.39,258987334476.86,2022-1,25.85
Recursos del balance,259948361497.39,258987334476.86,2022-1,25.85
NO TRIBUTARIOS,597923396398.64,608152483982.18,2022-2,39.95
Transferencias corrientes,571209496700.64,570174156412.1,2022-2,37.46
TRIBUTARIOS,477344440021.0,553922756917.03,2022-2,36.39
Sistema General de Participaciones,366784773085.0,366784773085.0,2022-2,24.09
Impuestos Indirectos,280222376464.0,361174952095.28,2022-2,23.73
TRIBUTARIOS,582495463571.0,446430619880.01,2023-1,39.2
NO TRIBUTARIOS,752157070111.85,376037656644.01,2023-1,33.02
Transferencias corrientes,716201748071.88,350573188526.32,2023-1,30.79
Recursos del balance,277662151825.49,269588218255.14,2023-1,23.67
Superávit fiscal,277662151825.49,269588218255.14,2023-1,23.67
NO TRIBUTARIOS,765152028796.85,729456424320.08,2023-2,39.79
Transferencias corrientes,727798812636.88,680542638538.74,2023-2,37.12
TRIBUTARIOS,607366609103.0,674560653442.12,2023-2,36.8
Impuestos Indirectos,386740445004.0,448641188587.06,2023-2,24.47
Sistema General de Participaciones,417348298950.0,417348298950.0,2023-2,22.77
TRIBUTARIOS,666047025910.0,472762964317.54,2024-1,38.12
NO TRIBUTARIOS,781759582958.56,458215697510.32,2024-1,36.95
Transferencias corrientes,732930254747.74,432200020075.21,2024-1,34.85
Recursos del balance,282295209388.9,282681941323.05,2024-1,22.8
Superávit fiscal,282295209388.9,282681941323.05,2024-1,22.8
NO TRIBUTARIOS,895579316452.01,911423621900.61,2024-2,45.31
Transferencias corrientes,844964225265.01,849286223423.58,2024-2,42.22
TRIBUTARIOS,691721841308.65,736705595295.56,2024-2,36.63
Sistema General de Participaciones,542986100385.0,542986100385.0,2024-2,27.0
Impuestos Indirectos,419993668240.65,454894632770.28,2024-2,22.62
TRIBUTARIOS,738314155664.0,533084971505.68,2025-1,40.13
NO TRIBUTARIOS,917404763163.9,499144626234.99,2025-1,37.57
Transferencias corrientes,864870549645.0,471463721249.13,2025-1,35.49
Sistema General de Participaciones,552218652014.0,304993883898.0,2025-1,22.96
Impuestos Directos,286387070807.0,296466277137.46,2025-1,22.32
