Gran_Sector_Publico,Presupuesto_Definitivo_COP,Pagos_Reales_COP,Periodo,Peso_en_el_Gasto_Total_%,Eficacia_de_Ejecucion_%
GASTOS DE FUNCIONAMIENTO,111757934012.19,99103788181.86,2017-2,15.47,88.68
SERVICIOS DE LA DEUDA PUBLICA,38030404000.0,36688611790.83,2017-2,5.73,96.47
GASTOS DE INVERSIÓN,694333919837.95,504953011417.37,2017-2,78.81,72.72
SERVICIOS DE LA DEUDA PUBLICA,45174003547.42,16090091985.5,2018-1,4.87,35.62
GASTOS DE INVERSIÓN,752526420029.36,259995265983.39,2018-1,78.75,34.55
GASTOS DE FUNCIONAMIENTO,118638010219.85,54070354139.65,2018-1,16.38,45.58
GASTOS DE FUNCIONAMIENTO,230416891537.7,212854446579.76,2018-2,14.18,92.38
SERVICIOS DE LA DEUDA PUBLICA,86812168414.84,78647111990.74,2018-2,5.24,90.59
GASTOS DE INVERSIÓN,1558548778934.72,1209630865321.74,2018-2,80.58,77.61
INVERSIÓN,1007340648946.91,269742035684.59,2021-1,70.59,26.78
SERVICIO DE LA DEUDA PUBLICA,64439939848.25,18781774465.71,2021-1,4.92,29.15
FUNCIONAMIENTO,181170030726.49,93600208755.24,2021-1,24.49,51.66
FUNCIONAMIENTO,189848477716.53,169788233202.2,2021-2,18.46,89.43
SERVICIO DE LA DEUDA PUBLICA,41601719532.91,31961028476.04,2021-2,3.47,76.83
INVERSIÓN,1046821989056.07,718155594268.79,2021-2,78.07,68.6
SERVICIO DE LA DEUDA PUBLICA,38437918240.16,13559219020.78,2022-1,3.08,35.28
INVERSIÓN,1179456500136.87,313182208378.99,2022-1,71.23,26.55
FUNCIONAMIENTO,219528463417.26,112939646734.01,2022-1,25.69,51.45
SERVICIO DE LA DEUDA PUBLICA,38437918240.16,32121134918.64,2022-2,13.69,83.57
FUNCIONAMIENTO,216770702990.82,202517662100.76,2022-2,86.31,93.42
INVERSIÓN,1411222412451.31,412240615075.71,2023-1,72.22,29.21
FUNCIONAMIENTO,235709795267.7,130490567046.7,2023-1,22.86,55.36
SERVICIO DE LA DEUDA PUBLICA,71845454500.33,28105268891.17,2023-1,4.92,39.12
FUNCIONAMIENTO,246502830913.7,241166033280.39,2023-2,76.6,97.83
SERVICIO DE LA DEUDA PUBLICA,77156250570.33,73656017641.6,2023-2,23.4,95.46
FUNCIONAMIENTO,280189061389.52,138880044012.72,2024-1,74.1,49.57
SERVICIO DE LA DEUDA PUBLICA,115361818087.43,48533786502.34,2024-1,25.9,42.07
FUNCIONAMIENTO,297615890397.52,265137045500.11,2024-2,74.23,89.09
SERVICIO DE LA DEUDA PUBLICA,110761818087.43,92029237484.57,2024-2,25.77,83.09
SERVICIO DE LA DEUDA PUBLICA,107106139546.55,45631315761.02,2025-1,22.53,42.6
FUNCIONAMIENTO,329405385119.75,156875118834.56,2025-1,77.47,47.62
