Nombre_del_Proyecto,Plata_Asignada_COP,Plata_Girada_Real_COP,Periodo,Avance_Real_%
RECURSOS DEL CREDITO 273,90741000462.0,0.0,2021-1,0.0
RECURSOS DE CREDITO 273,41258999538.0,0.0,2021-1,0.0
IMPUESTO DE ALUMBRADO PUBLICO VIGENCIA ANTERIOR 526,29947708155.86,0.0,2021-1,0.0
SALDO CUENTA MAESTRA SALUD REGIMEN SUBSIDIADO VIGENCIA ANTERIOR 274,29403539977.0,691261124.0,2021-1,2.35
RECURSOS PROPIOS VIGENCIA ANTERIOR 501,21602280796.68,0.0,2021-1,0.0
SGP PROPOSITO GENERAL LIBRE INVERSION 213,11984913303.0,134626581.0,2021-1,1.12
CONTRIBUCION 5% CONTRATOS DE OBRA PUBLICA VIGENCIA ANTERIOR  504,10683975658.77,3566666.0,2021-1,0.03
RECURSOS PROPIOS PASIVO EXIGIBLE 601,8975196166.369999,1120876615.07,2021-1,12.49
CONTRIBUCION 5% CONTRATOS OBRA PUBLICA 204,6024468951.0,286008318.95,2021-1,4.75
CONTRIBUCION 5% CONTRATOS DE OBRA PUBLICA VIGENCIA ANTERIOR 504,4535817258.0,0.0,2021-1,0.0
RECURSOS DEL CREDITO 273,95206674652.33,8831538342.91,2021-2,9.28
SALDO CUENTA MAESTRA SALUD REGIMEN SUBSIDIADO VIGENCIA ANTERIOR 274,29403539977.0,3928549961.66,2021-2,13.36
CONTRIBUCION 5% CONTRATOS DE OBRA PUBLICA VIGENCIA ANTERIOR 504,6514790508.0,0.0,2021-2,0.0
CONTRIBUCIÓN DE VALORIZACIÓN VIGENCIA ANTERIOR 530,3208930754.31,0.0,2021-2,0.0
SALDO CUENTA MAESTRA SALUD PRESTACION SERVICIO VIGENCIA ANTERIOR 275,2438425656.19,51666666.0,2021-2,2.12
CONTRIBUCION 5% CONTRATOS OBRA PUBLICA VIGENCIA ANTERIOR 504,2427742700.0,0.0,2021-2,0.0
SGP PROPOSITO GENERAL LIBRE INVERSIÓN  213,1712498186.0,0.0,2021-2,0.0
SGP SALUD PUBLICA VIGENCIAS ANTERIORES 509,1493857864.71,27013335.0,2021-2,1.81
RECURSOS PRESUPUESTOS PARTICIPATIVOS 289,1336814192.56,0.0,2021-2,0.0
RECURSOS PAGO COMPENSATORIO DE LOS DEBERES URBANISTICOS 282,1098509998.86,0.0,2021-2,0.0
TRANSPORTE INFRAESTRUCTURA RED VIAL REGIONAL VIA URBANA MEJORADA 201,34575762576.53,617028302.82,2022-1,1.78
GOBIERNO TERRITORIAL FORTALECIMIENTO A LA GESTION Y DIRECCION DE LA ADMINISTRACION PUBLICA TERRITORIAL SEDES MANTENIDAS 526,26479978204.85,0.0,2022-1,0.0
SALUD Y PROTECCION SOCIAL ASEGURAMIENTO Y PRESTACION INTEGRAL DE SERVICIOS DE SALUD HOSPITALES DE PRIMER NIVEL DE ATENCION CONSTRUIDOS Y DOTADOS 274,19689282746.0,0.0,2022-1,0.0
"EDUCACION CALIDAD, COBERTURA Y FORTALECIMIENTO DE LA EDUCACION INICIAL, PRESCOLAR, BASICA Y MEDIA SERVICIO DE APOYO FINANCIERO A ENTIDADES TERRITORIALES PARA LA EJECUCION DE ESTRATEGIAS DE PERMANENCIA CON ALIMENTACION ESCOLAR 201",16148309392.0,168435652.0,2022-1,1.04
AMBIENTE Y DESARROLLO SOSTENIBLE ORDENAMIENTO AMBIENTAL TERRITORIAL OBRAS PARA LA PREVENCION Y CONTROL DE MOVIMIENTOS EN MASA 501,15225605454.0,0.0,2022-1,0.0
AMBIENTE Y DESARROLLO SOSTENIBLE ORDENAMIENTO AMBIENTAL TERRITORIAL OBRAS PARA LA PREVENCIN Y CONTROL DE MOVIMIENTOS EN MASA 200,14553552351.0,0.0,2022-1,0.0
"DEPORTE Y RECREACION FOMENTO A LA RECREACION, LA ACTIVIDAD FISICA Y EL DEPORTE PARA DESARROLLAR ENTORNOS DE CONVIVENCIA Y PAZ SERVICIO DE MANTENIMIENTO A LA INFRAESTRUCTURA DEPORTIVA 501",13853202280.0,0.0,2022-1,0.0
GOBIERNO TERRITORIAL FORTALECIMIENTO DE LA CONVIVENCIA Y LA SEGURIDAD CIUDADANA SERVICIO INFORMACION IMPLEMENTADO 226,11964496636.0,0.0,2022-1,0.0
AGRICULTURA Y DESARROLLO RURAL INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACION PLAZA DE MERCADO ADECUADAS RECURSOS DEL CREDITO VIGENCIA ANTERIOR 573,11559999899.67,0.0,2022-1,0.0
MINAS Y ENERGIA CONSOLIDACION PRODUCTIVA DEL SECTOR DE ENERGIA ELECTRICA REDES DE ALUMBRADO PUBLICO MEJORADAS 226,10990690277.0,1173966762.9,2022-1,10.68
REDES DE ALUMBRADO PUBLICO MEJORADAS 526,14844726759.36,335295344.35,2022-2,2.26
SALUD Y PROTECCION SOCIAL ASEGURAMIENTO Y PRESTACION INTEGRAL DE SERVICIOS DE SALUD HOSPITALES DE PRIMER NIVEL DE ATENCION CONSTRUIDOS Y DOTADOS 274,14097597746.0,0.0,2022-2,0.0
SERVICIO DE MANTENIMIENTO A LA INFRAESTRUCTURA DEPORTIVA 501,14082179700.0,223596478.0,2022-2,1.59
ESPACIO PUBLICO ADECUADO 501,13187895765.17,0.0,2022-2,0.0
AGRICULTURA Y DESARROLLO RURAL INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACION PLAZA DE MERCADO ADECUADAS RECURSOS DEL CREDITO VIGENCIA ANTERIOR 573,11559999899.67,0.0,2022-2,0.0
REDES DE ALUMBRADO PUBLICO CON MANTENIMIENTO 226,10657083918.33,499167934.26,2022-2,4.68
VIA URBANA MEJORADA 573,8545803608.78,0.0,2022-2,0.0
"AMBIENTES DE APRENDIZAJE PARA LA EDUCACION INICIAL PREESCOLAR, BASICA Y MEDIA DOTADOS 201",7376140603.96,0.0,2022-2,0.0
SERVICIO DE APOYO PARA LA DOTACION HOSPITALARIA 274,5591685000.0,0.0,2022-2,0.0
SERVICIO DE SANEAMIENTO FISCAL Y FINANCIERO 601,5380164906.31,644245833.47,2022-2,11.97
INFRAESTRUCTURA EDUCATIVA MEJORADA 273,79668991613.0,0.0,2023-1,0.0
OBRAS PARA LA PREVENCION Y CONTROL DE MOVIMIENTOS EN MASA 800,61383981054.0,0.0,2023-1,0.0
ESPACIO PUBLICO ADECUADO 201,34545579750.18,0.0,2023-1,0.0
OBRAS PARA LA PREVENCION Y CONTROL DE MOVIMIENTOS EN MASA 201,27903475352.92,539291059.6,2023-1,1.93
HOSPITALES DE PRIMER NIVEL DE ATENCION CONSTRUIDOS Y DOTADOS 275,23793795486.0,0.0,2023-1,0.0
SERVICIO EDUCATIVO 201,21722724884.0,2137149974.91,2023-1,9.84
GOBIERNO TERRITORIAL FORTALECIMIENTO A LA GESTION Y DIRECCION DE LA ADMINISTRACION PUBLICA TERRITORIAL SEDES MANTENIDAS 526,11542500000.0,0.0,2023-1,0.0
REDES DE ALUMBRADO PUBLICO CON MANTENIMIENTO 226,10500000000.0,0.0,2023-1,0.0
REDES DE ALUMBRADO PUBLICO MEJORADAS 526,10279578003.21,0.0,2023-1,0.0
SOLUCIONES DE DISPOSICION FINAL DE RESIDUOS SOLIDOS CONSTRUIDAS 201,9823086535.0,0.0,2023-1,0.0
HOSPITALES DE PRIMER NIVEL DE ATENCION CONSTRUIDOS Y DOTADOS 275,23793795486.0,0.0,2023-2,0.0
REDES DE ALUMBRADO PUBLICO MEJORADAS 526,11058047641.33,1063197207.16,2023-2,9.61
VIA URBANA CONSTRUIDA 530,7688387779.53,0.0,2023-2,0.0
SGP EDUCACION PRESTACION DE SERVICIOS NOMINA CSF 205,7536706290.43,0.0,2023-2,0.0
SEDES MANTENIDAS 526,4697598366.84,386322067.37,2023-2,8.22
SERVICIO DE MANTENIMIENTO A LA INFRAESTRUCTURA DEPORTIVA 588,4264067279.48,0.0,2023-2,0.0
ESPACIO PUBLICO ADECUADO 557,3727166660.0,0.0,2023-2,0.0
"SERVICIOS DE PROMOCION DE LOS DERECHOS DE LOS NIÑOS, NIÑAS, ADOLESCENTES 201",3359802168.0,0.0,2023-2,0.0
VIA URBANA CONSTRUIDA 230,3247005368.0,0.0,2023-2,0.0
SERVICIO DE ATENCION EN SALUD A LA POBLACION 275,3000000000.0,0.0,2023-2,0.0
SERVICIO DE ALUMBRADO PBLICO 226,48035583565.82,0.0,2024-1,0.0
OBRAS DE INFRAESTRUCTURA PARA LA REDUCCION DEL RIESGO DE DESASTRES 501,47549232770.29,0.0,2024-1,0.0
SERVICIO DE ALUMBRADO PBLICO 526,28518851142.42,0.0,2024-1,0.0
OBRAS DE INFRAESTRUCTURA PARA LA REDUCCION DEL RIESGO DE DESASTRES OTRAS OBRAS DE INGENIERA CIVIL 201,23741381886.02,0.0,2024-1,0.0
SERVICIO DE AFILIACIONES AL REGIMEN SUBSIDIADO DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL 292,21960726120.17,1649468620.9,2024-1,7.51
SERVICIO DE APOYO FINANCIERO A ENTIDADES TERRITORIALES PARA LA EJECUCION DE ESTRATEGIAS DE PERMANENCIA CON ALIMENTACION ESCOLAR 201,20459377961.5,79666666.68,2024-1,0.39
SERVICIO DE SANEAMIENTO FISCAL Y FINANCIERO 673,15476871634.76,0.0,2024-1,0.0
SERVICIO DE SANEAMIENTO FISCAL Y FINANCIERO 601,15106769171.339998,0.0,2024-1,0.0
SERVICIO DE TRANSPORTE PUBLICO ORGANIZADO IMPLEMENTADOS (SITM SITP SETP SITR) 201,14443661237.0,0.0,2024-1,0.0
SERVICIO DE PROMOCION DE LA SALUD 275,12768160337.92,0.0,2024-1,0.0
SERVICIO DE ALUMBRADO PUBLICO 226,40933574897.76,1278975339.02,2024-2,3.12
SERVICIO DE ALUMBRADO PBLICO 526,15101410880.54,0.0,2024-2,0.0
VIA URBANA CONSTRUIDA 530,13615050831.24,0.0,2024-2,0.0
ESPACIO PUBLICO ADECUADO 289,12891095594.0,0.0,2024-2,0.0
SERVICIO DE PROMOCION DE LA SALUD 275,11973623385.92,0.0,2024-2,0.0
ESPACIO PUBLICO ADECUADO 389,11172315805.0,527690169.0,2024-2,4.72
ESTACIONES DE BOMBEROS CONSTRUIDAS 503,7893441206.68,0.0,2024-2,0.0
ESPACIO PUBLICO ADECUADO 588,7071465340.13,0.0,2024-2,0.0
SERVICIO DE ATENCION DE SEGURIDAD Y EMERGENCIAS DE LOS CENTROS DE INFORMACION ESTRATEGICA POLICIA SECCIONAL 201,4929120641.11,0.0,2024-2,0.0
HOSPITALES DE PRIMER NIVEL DE ATENCION CONSTRUIDOS Y DOTADOS 275,4000000000.0,0.0,2024-2,0.0
OTRAS OBRAS DE INGENIERIA CIVIL 501,35636211839.25,0.0,2025-1,0.0
SERVICIO DE ALUMBRADO PUBLICO 226,34816314413.0,0.0,2025-1,0.0
CARRETERAS (EXCEPTO CARRETERAS ELEVADAS) CALLES 289,22910408662.0,0.0,2025-1,0.0
SERVICIO DE MANTENIMIENTO Y REPARACION DE EQUIPOS ELECTRICOS DE ILUMINACION 226,17568000000.0,223212983.34,2025-1,1.27
OTROS EDIFICIOS NO RESIDENCIALES,15557282419.0,0.0,2025-1,0.0
VIA URBANA MEJORADA 213,12354998254.33,0.0,2025-1,0.0
OTROS SERVICIOS DE COMIDAS CONTRATADAS 513,11249993091.0,0.0,2025-1,0.0
SERVICIOS DE MANTENIMIENTO Y CUIDADO DEL PAISAJE 201,10264500000.0,110208335.0,2025-1,1.07
VIA URBANA MEJORADA 201,9551589294.0,344709808.08,2025-1,3.61
OBRAS DE INFRAESTRUCTURA PARA LA REDUCCION DEL RIESGO DE DESASTRES 201 FONDO GSTION DEL RIESGO,9435889561.6,0.0,2025-1,0.0
